Run,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
170826,331,8506241.76328,"[50-122], [139-243], [248-308]",6677502.25451
170842,350,8636294.71965,"[1-27], [32-96], [102-331]",7832462.97876
170854,659,13659370.1765,"[1-336], [341-414], [420-470], [475-578]",11641627.8577
170876,520,9025941.52699,"[1-110], [115-295], [301-516], [518-518]",8742428.61931
170896,212,3396899.02642,[1-212],3332858.05116
170899,84,1282584.15701,[1-84],1266554.03064
170901,228,2770920.83266,"[1-153], [159-200]",2661567.52209
171050,666,19659659.003,"[47-74], [80-337], [342-369], [371-379], [384-423], [427-467], [471-648]",17578927.0779
171091,147,3786658.42276,[1-135],3345608.29696
171098,32,803962.60649,[1-8],90585.1509462
171102,34,844793.879269,[1-19],419904.054386
171106,303,7138755.0006,"[1-27], [32-288]",6579464.16195
171117,95,1730554.27722,"[1-54], [56-78], [80-84]",1636907.43193
171156,758,21409451.6205,"[42-106], [111-686], [688-692]",18299012.1208
171178,1114,22802573.3225,"[1-92], [97-205], [210-551], [556-557], [563-787], [792-1043]",21945784.218
171219,169,4527475.93142,"[48-151], [153-162]",3841882.55076
171274,160,3921774.71483,"[88-137], [140-143]",1981402.07353
171282,179,6363145.07024,"[1-12], [14-99], [104-134], [140-171]",5826810.06001
171315,264,6929726.99039,[53-225],6021751.92429
171369,184,4680102.3131,"[42-130], [136-137], [144-161]",3723643.39352
171446,871,26845058.6271,[58-144],3230042.28737
171484,451,14022249.5243,"[61-202], [207-370], [377-432]",12469697.6665
171578,978,24438970.3317,"[47-150], [156-174], [179-314], [320-347], [353-480], [487-572], [578-816], [821-974]",22632337.3803
171812,447,14626622.383,"[59-296], [301-438]",12900860.3738
171876,570,19946528.6751,"[1-362], [368-391], [397-533]",17790632.3916
171880,281,8091742.27767,[19-202],5272006.61251
171895,81,2157722.33997,[34-34],17338.0502469
171897,550,13202040.3106,"[1-23], [205-437], [442-511], [517-542]",8181296.80033
171921,162,5532665.06984,[51-141],3645079.75593
171926,277,9500127.56857,"[1-49], [51-155], [161-172], [177-264]",8840320.06649
172014,256,10491393.5551,"[1-64], [66-143], [149-243]",9162063.37357
172024,161,6011174.87354,[1-46],1666239.26956
172033,811,23844058.2451,"[1-65], [71-277], [282-375], [380-473], [478-749]",22985238.3978
172163,808,28183194.3479,"[36-109], [115-469]",16438827.3032
172208,205,6913963.74488,[61-199],5631834.48805
172252,67,2512622.59224,[32-54],1002278.24955
172254,51,2297020.74473,[1-35],1441181.75046
172255,49,1588560.76608,[1-40],1469308.07169
172268,180,5951564.21636,[56-169],4901026.50334
172286,223,7493671.13726,"[52-177], [184-216]",6323228.14862
172389,500,17451183.5301,"[34-144], [150-428], [434-460]",16205051.5622
172399,245,8954328.3008,[57-226],7011462.71572
172400,720,25016318.6045,"[1-495], [500-690], [696-704]",23715965.2483
172401,242,4346538.14924,"[1-2], [5-148]",4129319.70644
172411,977,33084305.9983,[85-349],10822034.5957
172478,214,3960810.52744,[1-110],2808787.97451
172619,97,1934690.19692,[1-77],1490279.97138
172620,525,9435854.9033,[1-495],9223673.6403
172630,176,7270827.19478,"[36-64], [68-134], [139-160]",5113912.64994
172635,282,10673883.2373,"[1-18], [24-268]",10203002.4754
172778,139,2941345.02284,[48-97],1986746.54585
172791,1684,55218946.9888,"[65-413], [418-569], [571-715], [721-1295], [1300-1536], [1542-1645], [1649-1658]",51850360.386
172798,36,930462.220239,[1-31],721446.731769
172799,379,9325201.55334,[1-367],8913553.28481
172801,1155,24025859.2164,"[1-679], [681-750], [753-766], [768-815], [819-837], [839-861], [863-909], [911-1139]",22775746.8358
172802,819,13681208.5952,"[1-629], [634-784]",13203586.6448
172819,263,9680445.00342,"[57-87], [92-254]",8147855.35234
172822,2341,69792050.8527,"[1-75], [77-127], [133-353], [358-662], [667-832], [837-1096], [1102-1112], [1118-2121], [2127-2333]",67624871.5508
172824,88,1083033.76385,[1-54],1040888.73637
172847,165,3933805.41033,[62-131],2959998.29977
172865,391,16424699.1151,"[36-151], [157-382]",14571555.7386
172868,2090,59449058.0311,"[1-29], [34-708], [714-909], [912-1829], [1835-1970]",58137908.6516
172949,1311,47025023.7341,"[55-127], [133-159], [161-263], [269-274], [276-892], [898-928], [933-1287]",43673257.8043
172951,70,2068152.25808,[1-52],1458486.04024
172952,1672,37666840.5291,"[1-195], [197-670], [675-797], [799-1164], [1169-1562]",36868010.5793
172992,978,37851251.8232,"[505-511], [516-713], [752-874], [880-946]",14002956.1248
172999,304,8993379.98993,"[1-71], [77-294]",8670310.58786
173198,838,30301558.0388,"[49-322], [324-356], [362-485], [488-768], [770-823]",28556028.1702
173236,245,10239821.8184,[128-231],4712045.62601
173240,144,6314321.5594,[1-124],5247530.96944
173241,765,28901410.7768,"[1-85], [92-381], [388-759]",27719456.2364
173243,97,3194907.81297,[1-89],2858400.79817
173380,225,9250075.40341,"[75-204], [209-209], [217-217]",6083137.36567
173381,313,12303949.0243,"[1-134], [139-221], [226-226], [231-294]",11426063.6976
173389,672,29559236.9693,"[18-106], [111-169], [174-224], [230-262], [276-653]",26174016.2661
173406,304,12054672.0156,[37-285],11012812.5612
173430,176,6521216.72056,[72-163],4113074.37116
173438,72,3121291.20201,[32-56],1004431.12544
173439,764,33912793.4554,"[1-274], [280-313], [319-467], [472-756]",31994241.5707
173657,101,3317799.33204,[59-93],1488492.94295
173658,118,5789072.75979,[1-110],4717189.15104
173659,327,14403185.2184,"[1-61], [66-317]",13507790.7354
173660,377,14448339.4223,"[1-81], [86-164], [169-357], [359-362]",13169468.8569
173661,139,4862557.91166,"[1-56], [62-63], [65-125]",3946516.11762
173663,132,4363335.74177,"[1-71], [73-120]",3805355.69751
173664,314,8633662.35985,[5-16],379297.064634
173692,2801,83582758.1711,"[50-143], [149-468], [474-1123], [1129-1162], [1168-1321], [1326-1361], [1366-1383], [1389-1431], [1436-1818], [1824-2361], [2366-2710], [2715-2754]",79903446.8027
